,precision,recall,f1-score,support
0,0.9988566603929571,0.9986283061339336,0.9987424702106142,56864.0
1,0.2972972972972973,0.336734693877551,0.3157894736842105,98.0
accuracy,0.997489554439802,0.997489554439802,0.997489554439802,0.997489554439802
macro avg,0.6480769788451272,0.6676815000057423,0.6572659719474123,56962.0
weighted avg,0.9976496659478292,0.997489554439802,0.997567486999709,56962.0
