,precision,recall,f1-score,support
0,0.9997782418272874,0.951410382667417,0.9749948187462267,56864.0
1,0.030186030186030187,0.8775510204081632,0.05836443841194435,98.0
accuracy,0.9512833116814718,0.9512833116814718,0.9512833116814718,0.9512833116814718
macro avg,0.5149821360066588,0.91448070153779,0.5166796285790856,56962.0
weighted avg,0.9981101115520014,0.9512833116814718,0.9734178063998772,56962.0
