,precision,recall,f1-score,support
0,0.9995780739073872,0.9998944850872257,0.9997362544616953,56864.0
1,0.925,0.7551020408163265,0.8314606741573034,98.0
accuracy,0.9994733330992591,0.9994733330992591,0.9994733330992591,0.9994733330992591
macro avg,0.9622890369536936,0.877498262951776,0.9155984643094994,56962.0
weighted avg,0.9994497664174303,0.9994733330992591,0.9994467455457544,56962.0
